,level_0,user_id,lang,date,is_weekend,year,text,lat,lng,governorate,area,links,index,place_id,types
4733,4733,2999378700.0,en,2019-08-03 17:56:00,True,2019,"I'm at @AlHamraTower in Sharq, Kuwait ",29.378664,47.992783,Capital,Sharq,['https://t.co/3t6BrCclx3'],2.0,GhIJKyy4H_BgPUARK4NqgxP_R0A,"['establishment', 'food', 'point_of_interest', 'store', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4734,4734,2999378700.0,en,2018-01-28 00:11:00,False,2018,I'm at Omariya in Kuwait ,29.29656,47.955997,Farwaniya,Omariya,['https://t.co/Dcq1oIeurf'],4.0,GhIJQU0tW-tLPUARfAkVHF76R0A,"['establishment', 'laundry', 'point_of_interest', 'street_address', 'premise', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4736,4736,2999378700.0,en,2019-11-08 12:56:00,True,2019,"I'm at Toby’s Estate in Kuwait City, Al Kuwayt ",29.341185,47.941998,Capital,Shuwaikh Industrial - 1,['https://t.co/QihgJYydwa'],4.0,GhIJweJw5ldXPUAR3nL1Y5P4R0A,"['clothing_store', 'establishment', 'point_of_interest', 'store', 'street_address', 'premise', 'route', 'plus_code', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4738,4738,2999378700.0,en,2019-10-15 00:30:00,False,2019,"I'm at Saveco in Al-Rai, Al-Asimah ",29.315538,47.956932,Farwaniya,Al-Rai,['https://t.co/cyapEDzimT'],,,
4739,4739,2999378700.0,en,2019-11-09 20:35:00,True,2019,I'm at Omariya in Kuwait ,29.29656,47.955997,Farwaniya,Omariya,['https://t.co/YCw8vs7j5q'],4.0,GhIJQU0tW-tLPUARfAkVHF76R0A,"['establishment', 'laundry', 'point_of_interest', 'street_address', 'premise', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4740,4740,2999378700.0,en,2019-01-27 21:58:00,False,2019,"I'm at Cinescape - @mall360 in Kuwait City, Mubarak Al-Kabeer ",29.2677,47.992584,Hawalli,Zahra,['https://t.co/fzo8ArLVNa'],3.0,GhIJoyO5_IdEPUARNUQV_gz_R0A,"['clothing_store', 'establishment', 'point_of_interest', 'store', 'street_address', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4741,4741,2999378700.0,un,2018-01-12 02:16:00,True,2018,"I'm at Kuwait International Airport in Al Farwānīyah, Al Farwaniyah ",29.240576,47.971096,Farwaniya,Airport,['https://t.co/ejhYx95bOY'],2.0,GhIJ1zOEY5Y9PUARYaOs30z8R0A,"['airport', 'establishment', 'point_of_interest', 'bus_station', 'establishment', 'point_of_interest', 'transit_station', 'plus_code', 'route', 'administrative_area_level_1', 'political', 'country', 'political']"
4742,4742,4165239800.0,en,2018-08-18 17:36:00,True,2018,I'm at Qurtuba in Kuwait ,29.312054,47.987274,Capital,Qortuba,['https://t.co/Z5PhyX2yJZ'],2.0,GhIJA5ZcxeJPPUARdhiT_l7-R0A,"['establishment', 'point_of_interest', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4743,4743,578854140.0,en,2019-09-20 21:36:00,True,2019,"I'm at TNT Coffee in Kuwait City, Al Kuwayt w/ @othman_anwar ",29.373543,47.970394,Capital,Qibla,['https://t.co/Az2wUx9AAJ'],1.0,GhIJVaaYg6BfPUARCB7f3jX8R0A,"['establishment', 'food', 'point_of_interest', 'store', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4744,4744,1019196740.0,ar,2021-04-12 10:55:00,False,2021,تفضلون اللون البني أو البيج من ال SHELLS 👀؟؟• #Shells :القياس: 40×40السماكة: 12mmالسعر: ٢ دينار للمتر المربع… ,29.166668,47.6,Jahra,Kabed,['https://t.co/1niihWt1R6'],,,
4745,4745,8.47e+17,en,2020-02-14 19:45:00,True,2020,"I'm at Starbucks in Kuwait City, KUWAIT ",29.380316,48.003857,Capital,Bned Al-Gar,['https://t.co/QCL1g7PTt2'],,,
4748,4748,8.47e+17,ca,2020-03-28 20:34:00,True,2020,"I'm at شاليهات ٢٧٨ in Al Khiran, Al Asimah ",28.669172,48.363636,Ahmadi,Sabah Al-Ahmad Al-Bahrya,['https://t.co/0c2H5bhiM8'],2.0,GhIJH2Yv206rPEAR-tLbn4suSEA,"['establishment', 'point_of_interest', 'premise', 'plus_code', 'route', 'locality', 'political', 'neighborhood', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4749,4749,8.47e+17,en,2020-01-07 20:53:00,False,2020,"I'm at Four Seasons Hotel Kuwait in Kuwait City, Al Kuwayt ",29.361923,47.981525,Capital,Merqab,['https://t.co/32WaKPcIXt'],,,
4750,4750,8.47e+17,en,2018-03-18 18:22:00,False,2018,I'm at Alsalam - @salam_city in Hawalli Governorate ,29.29582,48.013344,Hawalli,Al-Salam,['https://t.co/4d6ZO4B2FI'],4.0,GhIJs4AJ3LpLPUARhcyVQbUBSEA,"['street_address', 'establishment', 'point_of_interest', 'school', 'premise', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4751,4751,9.71e+17,en,2018-11-11 17:36:00,False,2018,"I'm at Starbucks in Mishref, State of Kuwait ",29.280827,48.0691,Hawalli,Mishref,['https://t.co/5DPPAqU4s5'],1.0,GhIJc9U8R-RHPUARqRPQRNgISEA,"['establishment', 'point_of_interest', 'store', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4752,4752,9.71e+17,en,2019-10-05 11:12:00,True,2019,"I'm at Starbucks in Sapah Alahmed, Al Ahmadi ",28.802137,48.064198,Ahmadi,Sabah Al-Ahmad,['https://t.co/rCtWfAYMup'],2.0,GhIJW-m12VjNPEAR-zvbozcISEA,"['establishment', 'hair_care', 'health', 'point_of_interest', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4753,4753,9.71e+17,in,2019-07-06 01:06:00,True,2019,I'm at Dubai'ya 233 ,28.965912,48.156567,Ahmadi,Ali Subah Al-Salem,['https://t.co/8kiRphuL7O'],3.0,GhIJX9BCAkb3PEARAFEwYwoUSEA,"['establishment', 'food', 'point_of_interest', 'store', 'street_address', 'route', 'plus_code', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4754,4754,4903547400.0,es,2019-04-18 07:12:00,False,2019,#ارتش_جمهوری_اسلامی_ایران @ Urmia ,29.297989,47.912655,Farwaniya,Ardhiya - 6,['https://t.co/iPcq1q7wJ2'],2.0,GhIJV5HRAUlMPUAR9MMI4dH0R0A,"['establishment', 'point_of_interest', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4755,4755,226191310.0,en,2018-01-15 10:23:00,False,2018,W' Sister \U0001f49c✨ (@ The @BreakfastClubKw in Al Ahmadi) ,29.149822,48.12606,Ahmadi,Mahboula,['https://t.co/05ZxPR1rT9'],2.0,GhIJqDgOvFomPUARuKrsuyIQSEA,"['establishment', 'food', 'point_of_interest', 'restaurant', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4756,4756,226191310.0,en,2018-05-20 10:37:00,False,2018,"I'm at Al-Fintas Co-Operative Society in Fintas, Al Ahmadi ",29.172064,48.120277,Ahmadi,Fintas,['https://t.co/zleir215Ki'],,,
4757,4757,632417660.0,en,2020-08-31 22:40:00,False,2020,"I'm at Bartone in Kuwait City, Al Kuwayt w/ @b262_x ",29.38452,47.991467,Capital,Sharq,['https://t.co/ZqVzTFEjYt'],,,
4759,4759,52355528.0,fa,2018-10-08 21:39:00,False,2018,#Repost mohammad.mkhani with get_repost\u30fb\u30fb\u30fb\u0645\u0639\u062c\u0632\u0647 \u0627\u06cc \u0648\u062c\u0648\u062f \u062f\u0627\u0631\u062f \u06a9\u0647 \u062f\u0648\u0633\u062a\u06cc \u0646\u0627\u0645\u06cc\u062f\u0647 \u0645\u06cc \u0634\u0648\u062f \u0648 \u062f\u0631 \u0645\u06cc\u0627\u0646 \u062f\u0644 \u0627\u0642\u0627\u0645\u062a \u062f\u0627\u0631\u062f \u061b \u0634\u0645\u0627\u2026 ,29.37808,47.97339,Capital,Qibla,['https://t.co/CMhWBivvHf'],,,
4760,4760,450005920.0,in,2019-03-22 19:12:00,True,2019,"I'm at Adailiya in Al-'Udayliyah, Al Asimah ",28.811892,48.277573,Ahmadi,Shalihat,['https://t.co/wXaPBc9St5'],1.0,GhIJUeJzJ9jPPEARVaAWg4cjSEA,"['establishment', 'lodging', 'point_of_interest', 'plus_code', 'route', 'premise', 'neighborhood', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4762,4762,605457800.0,en,2018-05-01 22:14:00,False,2018,"I'm at Salam Co-Op - @alsalamcoop in Al Salam, Hawalli Governorate ",29.296537,48.00943,Hawalli,Al-Salam,['https://t.co/hgRRIGQylS'],,,
4764,4764,743902800.0,un,2018-01-19 00:04:00,True,2018,I'm at منتزه الخيران in Kuwait ,28.662352,48.387066,Ahmadi,Sabah Al-Ahmad Al-Bahrya,['https://t.co/UlokiWsSFG'],1.0,GhIJsHCS5o-pPEARX7LxYIsxSEA,"['establishment', 'lodging', 'point_of_interest', 'plus_code', 'route', 'locality', 'political', 'neighborhood', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4766,4766,743902800.0,un,2018-06-21 17:55:00,False,2018,I'm at UNO CAF #1 in مبارك الكبير ,29.214819,48.10337,Mubarak Al-Kabeer,Fineitees,['https://t.co/6Bs1eBNqEl'],1.0,GhIJNo_DYP42PUARmrFoOjsNSEA,"['cafe', 'establishment', 'food', 'point_of_interest', 'store', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4767,4767,2915925500.0,en,2018-05-12 15:45:00,True,2018,I'm at My Glitter Saloon &amp; Spa  - Alshuhada in Kuwait city ,29.270187,48.033794,Hawalli,Shohdaa,['https://t.co/pIxKg64vfW'],,,
4768,4768,2915925500.0,en,2017-12-28 21:33:00,False,2017,"I'm at 1660 Club in Kuwait City, Al Kuwayt ",29.367851,47.96997,Capital,Qibla,['https://t.co/VVpaNcsAK4'],4.0,GhIJCM2ueytePUAR8Qwa-if8R0A,"['street_address', 'establishment', 'jewelry_store', 'point_of_interest', 'store', 'premise', 'street_address', 'plus_code', 'route', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4769,4769,3989917700.0,en,2018-08-31 19:04:00,True,2018,"I'm at Damascus Street in Kuwait City, Al Asimah ",29.321362,47.992897,Capital,Adeilia,['https://t.co/4bkS7YYFTa'],,,
4771,4771,2616087000.0,en,2018-10-28 09:43:00,False,2018,I'm at American College of the Middle east(ACM) - @acm_college in Kuwait City w/ @jassim_a7mad_ @ffhad12… ,29.16689,48.098305,Ahmadi,Egaila,['https://t.co/Kb69a4BgKC'],2.0,GhIJiQeUTbkqPUARQgQcQpUMSEA,"['cafe', 'establishment', 'food', 'point_of_interest', 'store', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4772,4772,2616087000.0,en,2018-09-24 12:05:00,False,2018,I'm at American College of the Middle east(ACM) - @acm_college in Kuwait City w/ @kmalfilchawey @n657_v… ,29.166594,48.098392,Ahmadi,Egaila,['https://t.co/OkXcSCOSjR'],2.0,GhIJtrWF56UqPUAREhjrG5gMSEA,"['premise', 'cafe', 'establishment', 'food', 'point_of_interest', 'store', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4775,4775,7.75e+17,en,2018-09-11 19:01:00,False,2018,"I'm at @CinescapeQ8 in Al Rai, Al Farwaniyah Governate ",29.302286,47.92996,Farwaniya,Al-Rai,['https://t.co/yGAGwkb9EM'],2.0,GhIJ5AmEnWJNPUARSUvl7Qj3R0A,"['establishment', 'home_goods_store', 'point_of_interest', 'store', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4776,4776,7.75e+17,en,2018-03-26 10:54:00,False,2018,I'm at College Of Business Studies ,29.277302,47.908863,Farwaniya,Ardhiya - 6,['https://t.co/jzr1D8ngMd'],2.0,GhIJih2NQ_1GPUARsMVun1X0R0A,"['establishment', 'point_of_interest', 'premise', 'plus_code', 'route', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4777,4777,7.75e+17,en,2019-04-26 22:11:00,True,2019,"I'm at LOVE | Alrayh in Kuwait City, Al Kuwayt ",29.317945,48.031403,Hawalli,Jabriya,['https://t.co/v1nxwRq3Ll'],4.0,GhIJPe3w12RRPUARhv90AwUESEA,"['street_address', 'premise', 'embassy', 'establishment', 'point_of_interest', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4778,4778,7.75e+17,ar,2018-09-18 16:31:00,False,2018,I'm at العارضية الصناعية ,29.297712,47.91259,Farwaniya,Ardhiya - 6,['https://t.co/0ey9eWMT5G'],,,
4779,4779,7.75e+17,ca,2018-04-30 09:32:00,False,2018,شالحر(: (@ Arabica % Shuwaikh in Shuwaikh) ,29.342106,47.939472,Capital,Shuwaikh Industrial - 1,['https://t.co/sxG1fH8Voz'],,,
4780,4780,7.75e+17,ca,2019-12-22 13:34:00,False,2019,I'm at ستاربكس in Adailiya ,29.328583,47.98137,Capital,Adeilia,['https://t.co/N5wFhSh8bO'],,,
4781,4781,7.75e+17,en,2018-04-20 20:25:00,True,2018,"I'm at 1660 Club in Kuwait City, Al Kuwayt w/ @kh56h ",29.367767,47.970047,Capital,Qibla,['https://t.co/98Upm1EJk0'],4.0,GhIJS4xl-iVePUARnUoGgCr8R0A,"['establishment', 'local_government_office', 'point_of_interest', 'premise', 'street_address', 'street_address', 'plus_code', 'route', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4782,4782,7.75e+17,ca,2018-08-28 19:20:00,False,2018,"I'm at ستاربكس - @starbucks in Kuwait City, Al Asimah ",29.357145,47.99838,Capital,Mansouriya,['https://t.co/NQBHFcnY8S'],2.0,GhIJEO7O2m1bPUARgH106sr_R0A,"['establishment', 'point_of_interest', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4783,4783,7.75e+17,ca,2018-11-06 20:26:00,False,2018,"I'm at مروج in Sabhan, Kuwait City, Mubarak Al-kabeer w/ @sda73x_ @re62x @abdullalfadhl ",29.26074,48.02193,Mubarak Al-Kabeer,Wosta,['https://t.co/YcA1JkDtOc'],1.0,GhIJUMJM279CPUARkGYsms4CSEA,"['establishment', 'food', 'point_of_interest', 'restaurant', 'plus_code', 'route', 'administrative_area_level_1', 'political', 'country', 'political']"
4784,4784,1626886500.0,un,2018-01-28 13:46:00,False,2018,I'm at cafe bazza | كافية بزّة in Al Asimah ,29.339285,47.961903,Capital,Keefan,['https://t.co/S7hUpQnHUn'],2.0,GhIJ-gW7YdtWPUART3Yzox_7R0A,"['establishment', 'point_of_interest', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4785,4785,263260450.0,en,2018-04-20 20:46:00,True,2018,"I'm at Bartone in Kuwait City, Al Kuwayt w/ @aalelaj ",29.38439,47.991444,Capital,Sharq,['https://t.co/JWOCswCsD6'],3.0,GhIJ0ugOYmdiPUARYOgRo-f-R0A,"['clothing_store', 'establishment', 'point_of_interest', 'store', 'street_address', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4786,4786,293608450.0,en,2018-04-06 13:41:00,True,2018,#اللهم_صل_علي_محمدﷺو_آل_محمدﷺ @ Kuwait ,29.166668,47.6,Jahra,Kabed,['https://t.co/ni9hmnBn5B'],,,
4787,4787,293608450.0,ar,2018-02-15 17:12:00,False,2018,رساله محمد صلاح للعالم وللشباب.هذا هو القدوه الحسنههذا هو… ,29.166668,47.6,Jahra,Kabed,['https://t.co/63ySBplcTw'],,,
4788,4788,554933100.0,un,2019-04-23 10:58:00,False,2019,#amazing #style  #family #ksa #kuwait #nature #life #like #swag #follow #sun #fitness #vape #uae #beauty #pretty… ,29.304064,47.93885,Farwaniya,Al-Rai,['https://t.co/tHzn0rCMpd'],3.0,GhIJFuRnI9dNPUARv-yePCz4R0A,"['establishment', 'point_of_interest', 'premise', 'street_address', 'plus_code', 'route', 'street_address', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4790,4790,3236391400.0,en,2018-02-08 16:09:00,False,2018,"I'm at Toby’s Estate in Kuwait City, Al Kuwayt w/ @falsaleh94 ",29.34117,47.941967,Capital,Shuwaikh Industrial - 1,"['https://t.co/y8Xcl3WSnb', 'https://t.co/6r8Og3hwfZ']",,,
4792,4792,4080556000.0,en,2018-05-28 23:09:00,False,2018,"I'm at Damascus Street in Kuwait City, Al Asimah w/ @its246x_ @26__alm ",29.321362,47.992897,Capital,Adeilia,['https://t.co/29iCJlgIno'],,,
4793,4793,449042370.0,tl,2018-08-16 20:45:00,False,2018,"I'm at Arabica % Al-Salhiya in Kuwait City, Al Kuwayt ",29.36313,47.96644,Capital,Qibla,['https://t.co/HPq9znweIt'],4.0,GhIJTDJyFvZcPUAR68VQTrT7R0A,"['establishment', 'jewelry_store', 'point_of_interest', 'store', 'premise', 'street_address', 'route', 'plus_code', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4794,4794,306855740.0,ar,2019-09-19 19:37:00,False,2019,ضمن الاسبوع الاول من دوري الاشبال تحت 15 سنة لكرة اليد تغلب #الكويت على #القادسية بنتيجة 35-18 @ Kuwait ,29.166668,47.6,Jahra,Kabed,['https://t.co/nHgzOG0HxI'],,,
4796,4796,306855740.0,ar,2018-08-14 12:46:00,False,2018,برنامج صناع الحدث تقديم الإعلامي سالم انس المرزوق .. إعداد الدكتور احمد فولاذ وسالم انس.. كل ثلاثاء الساعة ١١ مسا… ,29.166668,47.6,Jahra,Kabed,['https://t.co/jQaclNjvgk'],,,
4798,4798,2999588000.0,en,2020-06-19 08:12:00,True,2020,I'm at Starbucks ,29.188541,48.07846,Mubarak Al-Kabeer,Mubarak Al-Kabeer,['https://t.co/GhyIypJ1hn'],1.0,GhIJg_QUOUQwPUARpwUv-goKSEA,"['cafe', 'establishment', 'food', 'point_of_interest', 'store', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4802,4802,2999588000.0,en,2018-12-24 23:11:00,False,2018,I'm at Kuwait City in Kuwait ,29.37808,47.97339,Capital,Qibla,['https://t.co/snHlUgORf4'],,,
4804,4804,2345353500.0,tr,2018-09-07 20:29:00,True,2018,"I'm at \xdcshk in Abu Al-Hasaniya, Mubarak Al-Kabeer Governorate w/ @subaiie76 @kw_alajmii ",29.195286,48.109997,Mubarak Al-Kabeer,Abu Ftaira,['https://t.co/Jm6eswGrE6'],1.0,GhIJ3l1nQ_4xPUARPdS2YRQOSEA,"['cafe', 'establishment', 'food', 'point_of_interest', 'plus_code', 'route', 'political', 'sublocality', 'sublocality_level_1', 'neighborhood', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4806,4806,498701150.0,ca,2018-12-17 12:19:00,False,2018,"يااااارب \U0001f64f \U0001f493 #Elcaesar @ Hawalli, Al 'Āşimah, Kuwait ",29.3328,48.0286,Hawalli,Hawalli,['https://t.co/P0gI99PnJU'],3.0,GhIJ2ht8YTJVPUARMlUwKqkDSEA,"['premise', 'convenience_store', 'establishment', 'food', 'point_of_interest', 'store', 'route', 'plus_code', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4807,4807,2803404000.0,en,2019-09-25 14:18:00,False,2019,I'm at Mishmash ,29.293201,47.908386,Farwaniya,Ardhiya - 6,['https://t.co/AYBHmizU4l'],2.0,GhIJjieCOA9LPUARdxIR_kX0R0A,"['establishment', 'food', 'point_of_interest', 'restaurant', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4808,4808,2803404000.0,un,2019-08-06 21:37:00,False,2019,"I'm at Starbucks 125complex in مدينة الكويت, الشويخ ",29.341368,47.942196,Capital,Shuwaikh Industrial - 1,['https://t.co/r5VzWHdCqW'],1.0,GhIJpOar5GNXPUARBDbn4Jn4R0A,"['cafe', 'establishment', 'food', 'point_of_interest', 'store', 'plus_code', 'route', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4809,4809,3057100500.0,en,2019-01-16 11:48:00,False,2019,I'm at Lamis Spa in Salmiya ,29.33775,48.071415,Hawalli,Salmiya,['https://t.co/Yat0mL8VM9'],,,
4811,4811,831586200.0,en,2018-05-24 22:36:00,False,2018,"I'm at Cole Cafe in Kuwait City, Al Asimah Governate ",29.38039,47.983967,Capital,Sharq,['https://t.co/qLJuIf3FVY'],2.0,GhIJt7kxPWFhPUAR76tyofL9R0A,"['establishment', 'point_of_interest', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4812,4812,831586200.0,in,2018-01-12 20:27:00,True,2018,"\U0001f4da\U0001f4d0 (@ Java detour Coffee &amp; Tea Bar in Kuwait City, Al Asimah) ",29.361422,47.966965,Capital,Qibla,['https://t.co/5Vr5EQrcup'],,,
4813,4813,9.97e+17,ar,2019-04-09 09:55:00,False,2019,كريم #البحر_الميت المرطب ليلا و نهارايجب استعمال كريم مرطب في الصباح قبل وضع المكياج و ذلك للحفاظ على رطوبة البشرة… ,29.270203,47.905487,Farwaniya,Sabah Al-Nasser,['https://t.co/49CCkMWvpX'],2.0,GhIJ9UcYBixFPUARAfp9_-bzR0A,"['premise', 'establishment', 'health', 'point_of_interest', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4816,4816,9.97e+17,in,2018-11-03 21:15:00,True,2018,"I'm at Adailiya in Al-'Udayliyah, Al Asimah ",29.326153,47.98366,Capital,Adeilia,['https://t.co/soagOO2sVC'],2.0,GhIJBn5Uw35TPUAREjElkuj9R0A,"['premise', 'establishment', 'gym', 'health', 'point_of_interest', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4817,4817,9.97e+17,ca,2018-09-07 16:43:00,True,2018,"\U0001f31a (@ Kuwait International Airport in Al Farwānīyah, Al Farwaniyah w/ @saramflchawy10) ",29.240583,47.971043,Farwaniya,Airport,['https://t.co/uo2lycp6r0'],,,
4818,4818,9.97e+17,en,2019-04-23 10:23:00,False,2019,"I'm at Australian College of Kuwait - @ack_live in Mubarak Al-Abdullah, Hawalli Governorate w/ @salsheredah ",29.30405,47.941345,Farwaniya,Al-Rai,['https://t.co/AIBazls9no'],1.0,GhIJS1mGONZNPUARZqAy_n34R0A,"['establishment', 'food', 'point_of_interest', 'store', 'plus_code', 'street_address', 'route', 'street_address', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
4819,4819,8.01e+17,en,2018-05-18 23:08:00,True,2018,"I'm at Toby’s Estate in Kuwait City, Al Kuwayt w/ @al3dwani26 @h462x ",29.341185,47.941998,Capital,Shuwaikh Industrial - 1,['https://t.co/1OdUjobgCF'],4.0,GhIJweJw5ldXPUAR3nL1Y5P4R0A,"['clothing_store', 'establishment', 'point_of_interest', 'store', 'street_address', 'premise', 'route', 'plus_code', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4821,4821,8.01e+17,ca,2018-06-22 17:00:00,True,2018,"اخيرا (@ Kaifan in Kayfān, Al Asimah) ",29.33779,47.96381,Capital,Keefan,['https://t.co/DZPC0Fhg62'],,,
4822,4822,8.01e+17,en,2018-11-01 21:09:00,False,2018,"I'm at Soul Coffee Bar in Fnaitees, Mubarak Al-Kabeer Governorate ",29.21474,48.10336,Mubarak Al-Kabeer,Fineitees,['https://t.co/dUiR7UJPCa'],1.0,GhIJniRdM_k2PUARdtuF5joNSEA,"['cafe', 'establishment', 'food', 'point_of_interest', 'store', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4824,4824,8.01e+17,un,2018-03-11 13:39:00,False,2018,"I'm at جامعة الكويت كلية الحقوق in Kuwait City, Al Asimah ",29.342922,47.915092,Capital,Shuwaikh Education,['https://t.co/5wqFGUY8FZ'],,,
4825,4825,2841906200.0,un,2018-10-03 16:45:00,False,2018,هني تذوق كل انواع القهوه \U0001f602 . (@ Al-Ghanim Service Center in Al Asimah) ,29.33561,47.945698,Capital,Shuwaikh Industrial - 1,['https://t.co/SPPIYZOsrj'],1.0,GhIJ6DV2iepVPUARQfLOoQz5R0A,"['establishment', 'point_of_interest', 'plus_code', 'route', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4826,4826,2841906200.0,ar,2018-11-24 21:30:00,True,2018,I'm at الإداره العامه للإطفاء - إدارة العلاقات العامه والإعلام in مركز السالميه ,29.33152,48.05324,Hawalli,Salmiya,['https://t.co/UvBkBAyarW'],3.0,GhIJTfilft5UPUARZWt9kdAGSEA,"['establishment', 'point_of_interest', 'premise', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
4827,4827,2841906200.0,un,2018-04-11 20:16:00,False,2018,"حالياً صج ابي احد يصرف علي \U0001f642\U0001f494. (@ Shuwaikh in Al-Asimah, Al Asimah) ",29.324291,47.94465,Capital,Shuwaikh Industrial - 2,['https://t.co/3dFwySIiDs'],1.0,GhIJG2MnvARTPUARTBWMSur4R0A,"['establishment', 'point_of_interest', 'storage', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
